name,category,row_id,ingredient_number,ingredient,measure_amt,measure_unit
Top Banana,Vodka,202,3,Orange Juice,2,oz
Eastern Sour,Whiskies,206,2,Orange Juice,1.5,oz
Surf Rider,Vodka,227,3,Orange Juice,2,oz
Sputnik,Vodka,238,3,Orange Juice,3,oz
Sonic Blaster,Vodka,244,5,Orange Juice,1,oz
Golden Dawn,Brandy,249,4,Orange Juice,1,oz
Sidecar,Cocktail Classics,250,6,Orange Juice,0.5,oz
Shalom,Vodka,251,3,Orange Juice,0.5,oz
Screwdriver,Vodka,254,2,Orange Juice,5,oz
Ruby Red,Vodka,267,4,Orange Juice,1,oz
Canal Street Daisy,Whiskies,279,2,Orange Juice,1,oz
Canadian Cherry,Whiskies,282,5,Orange Juice,0.5,oz
Orange Smile,Cocktail Classics,283,2,Orange Juice,1,oz
Brighton Punch,Whiskies,294,4,Orange Juice,2,oz
Blood and Sand,Whiskies,306,4,Orange Juice,0.5,oz
Creme de Gin Cocktail,Cocktail Classics,318,5,Orange Juice,2,oz
Creamy Screwdriver,Cocktail Classics,319,3,Orange Juice,6,oz
Creamy Orange,Cocktail Classics,320,1,Orange Juice,1,oz
Creamsicle,Cocktail Classics,321,3,Orange Juice,3,oz
Suntan,Cocktail Classics,361,2,Orange Juice,2,oz
Soul Kiss Cocktail,Cocktail Classics,368,1,Orange Juice,1.5,oz
Petit Zinc,Vodka,379,4,Orange Juice,0.5,oz
Savannah,Cocktail Classics,390,1,Orange Juice,0.5,oz
Merry Widow Fizz,Cocktail Classics,428,1,Orange Juice,0.5,oz
Madras,Vodka,435,3,Orange Juice,1,oz
Lychee Lucy,Vodka,437,3,Orange Juice,0.5,oz
Rococo,Cocktail Classics,451,2,Orange Juice,1,oz
Rebel Charge,Cocktail Classics,457,3,Orange Juice,1,oz
L.A. Sunrise,Vodka,468,3,Orange Juice,2,oz
White Rose Cocktail,Cocktail Classics,469,2,Orange Juice,1,oz
Jungle Juice,Vodka,481,4,Orange Juice,1,oz
Wedding Belle Cocktail,Cocktail Classics,482,1,Orange Juice,1.5,oz
Waterloo,Cocktail Classics,483,2,Orange Juice,3,oz
Twin Six Cocktail,Cocktail Classics,487,4,Orange Juice,1,oz
Italian Screwdriver,Vodka,492,3,Orange Juice,3,oz
Humpty Dumpty,Vodka,499,2,Orange Juice,1,oz
Tahitian Tea,Cocktail Classics,503,6,Orange Juice,1,oz
Harvey Wallbanger,Vodka,509,2,Orange Juice,4,oz
Handball Cooler,Vodka,517,3,Orange Juice,0.5,oz
Golden Frappe,Cocktail Classics,536,1,Orange Juice,1,oz
Duke Cocktail,Cocktail Classics,556,2,Orange Juice,1,oz
Dubonnet Fizz,Cocktail Classics,559,1,Orange Juice,0.5,oz
Desert Sunrise,Vodka,562,2,Orange Juice,1.5,oz
Wiki Waki Woo,Rum - Daiquiris,582,5,Orange Juice,1,oz
The Vacation Cocktail,Rum - Daiquiris,596,5,Orange Juice,0.5,oz
Verboten,Cocktail Classics,603,3,Orange Juice,1,oz
Bulldog Highballl,Cocktail Classics,623,1,Orange Juice,0.5,oz
Bucks Fizz (Mimosa),Cocktail Classics,624,1,Orange Juice,2,oz
Bronx SIlver Cocktail,Cocktail Classics,627,1,Orange Juice,0.5,oz
Applejack Punch,Cocktail Classics,639,3,Orange Juice,16,oz
Rum Screwdriver,Rum - Daiquiris,663,2,Orange Juice,5,oz
D'artagnan,Brandy,672,4,Orange Juice,0.5,oz
Robson Cocktail,Rum - Daiquiris,677,3,Orange Juice,0.5,oz
Puerto Rican Rum Daisy,Rum - Daiquiris,683,4,Orange Juice,0.5,oz
Planter's Punch No. 2,Rum - Daiquiris,688,2,Orange Juice,2,oz
New Orleans Buck,Rum - Daiquiris,703,2,Orange Juice,1,oz
Boston Gold,Vodka,720,3,Orange Juice,2,oz
Tequila Sunrise,Tequila,773,2,Orange Juice,4,oz
Tequila Canyon,Tequila,789,5,Orange Juice,1,oz
Orange Blossom Cocktail,Cocktail Classics,812,2,Orange Juice,1,oz
Mariposa Cocktail,Cocktail Classics,822,4,Orange Juice,1,oz
Mariposa,Rum - Daiquiris,835,4,Orange Juice,0.5,oz
Jamaica Glow Cocktail,Cocktail Classics,842,3,Orange Juice,1,oz
Knickerbocker Special Cocktail,Rum - Daiquiris,855,4,Orange Juice,1,oz
Hurricane Leah,Rum - Daiquiris,869,5,Orange Juice,3,oz
Hurricane,Rum - Daiquiris,871,4,Orange Juice,0.75,oz
Harvest Nectar,Rum - Daiquiris,878,4,Orange Juice,1,oz
Hai Karate,Rum - Daiquiris,882,4,Orange Juice,1,oz
Calvados Cocktail,Brandy,896,2,Orange Juice,1.5,oz
The Nomad South,Tequila,901,2,Orange Juice,1,oz
Fog Cutter,Rum - Daiquiris,904,5,Orange Juice,1,oz
Mexican Madras,Tequila,909,3,Orange Juice,1,oz
La Bomba,Tequila,926,5,Orange Juice,1.5,oz
Hairy Sunrise,Tequila,931,4,Orange Juice,3,oz
Bucks Fizz,Cocktail Classics,941,1,Orange Juice,2,oz
Chapala,Tequila,948,2,Orange Juice,1.5,oz
Alamo Splash,Tequila,966,2,Orange Juice,1,oz
Will Rogers,Gin,977,3,Orange Juice,0.5,oz
Minnehaha Cocktail,Cocktail Classics,987,1,Orange Juice,0.25,oz
Cool Carlos,Cocktail Classics,5,3,Pineapple Juice,2,oz
Hawaiin Cocktail,Cocktail Classics,72,2,Pineapple Juice,1,oz
Saratoga Cocktail,Cocktail Classics,128,4,Pineapple Juice,1,oz
Yellowjacket,Non-alcoholic Drinks,174,1,Pineapple Juice,2,oz
Jack-In-The-Box,Brandy,180,2,Pineapple Juice,1,oz
Tiger Tanaka,Vodka,218,5,Pineapple Juice,0.75,oz
Sonic Blaster,Vodka,244,4,Pineapple Juice,1,oz
Canadian Breeze,Whiskies,285,2,Pineapple Juice,0.75,oz
Back Porch Swizzle,Whiskies,352,3,Pineapple Juice,1,oz
Canadian Pineapple,Cocktail Classics,353,2,Pineapple Juice,1,oz
Algonquin,Whiskies,389,3,Pineapple Juice,1,oz
Million-Dollar Cocktail,Cocktail Classics,424,1,Pineapple Juice,2,oz
Lychee Lucy,Vodka,437,4,Pineapple Juice,0.5,oz
L.A. Sunrise,Vodka,468,4,Pineapple Juice,2,oz
Jungle Juice,Vodka,481,4,Pineapple Juice,1,oz
East India Cocktail No. 1,Brandy,544,4,Pineapple Juice,0.5,oz
Gables Collins,Vodka,546,4,Pineapple Juice,0.5,oz
French Martini,Vodka,551,3,Pineapple Juice,0.75,oz
Desert Sunrise,Vodka,562,3,Pineapple Juice,1.5,oz
Wiki Waki Woo,Rum - Daiquiris,582,5,Pineapple Juice,1,oz
Outrigger,Cocktail Classics,589,3,Pineapple Juice,1,oz
Tropica Cocktail,Rum - Daiquiris,601,2,Pineapple Juice,3,oz
Tahiti Club,Rum - Daiquiris,615,4,Pineapple Juice,0.5,oz
Stormy Colada,Rum - Daiquiris,626,2,Pineapple Juice,2,oz
Rum Relaxer,Rum - Daiquiris,666,2,Pineapple Juice,1,oz
Rio Fix,Rum - Daiquiris,678,5,Pineapple Juice,0.5,oz
Planter's Punch No. 2,Rum - Daiquiris,688,4,Pineapple Juice,0.5,oz
Pink Paradise,Rum - Daiquiris,691,4,Pineapple Juice,1.5,oz
Pineapple Fizz,Rum - Daiquiris,693,2,Pineapple Juice,1,oz
Pineapple Cocktail,Rum - Daiquiris,694,2,Pineapple Juice,0.75,oz
Caribbean Cruise,Vodka,713,5,Pineapple Juice,4,oz
Alfie Cocktail,Vodka,748,2,Pineapple Juice,0.75,oz
Vagabundo,Tequila,760,2,Pineapple Juice,1.5,oz
Tequila Matador,Tequila,782,2,Pineapple Juice,2,oz
Tequila Canyon,Tequila,789,4,Pineapple Juice,1,oz
Mary Pickford Cocktail,Rum - Daiquiris,832,2,Pineapple Juice,0.75,oz
Jack-in-the-Box Cocktail,Cocktail Classics,844,2,Pineapple Juice,1,oz
Jamaican Crawler,Rum - Daiquiris,861,3,Pineapple Juice,3,oz
Havana Cocktail,Rum - Daiquiris,877,2,Pineapple Juice,1.5,oz
Harvest Nectar,Rum - Daiquiris,878,2,Pineapple Juice,1,oz
Hai Karate,Rum - Daiquiris,882,3,Pineapple Juice,1,oz
Pina Agave,Tequila,885,3,Pineapple Juice,1,oz
Cuban Special Cocktail,Cocktail Classics,899,1,Pineapple Juice,1,oz
Mexicana,Tequila,918,3,Pineapple Juice,0.5,oz
La Bomba,Tequila,926,4,Pineapple Juice,1.5,oz
Pineapple Dream Cocktail,Cocktail Classics,959,1,Pineapple Juice,0.5,oz
Big Red Hooter,Tequila,960,3,Pineapple Juice,2,oz
Alamo Splash,Tequila,966,3,Pineapple Juice,0.5,oz
Waikiki Beachcomber,Gin,989,3,Pineapple Juice,0.5,oz
Hebrides,Whiskies,135,4,Apple Juice,2,oz
Red Apple,Vodka,278,2,Apple Juice,1,oz
Oldest Temptation,Tequila,894,2,Apple Juice,1,oz
Lillypad,Tequila,921,3,Apple Juice,1.5,oz
Black Cherry Chocolate,Vodka,734,3,Black Cherry Juice,0.75,oz
The Nomad South,Tequila,901,3,Blood Orange Juice,0.5,oz
Blood Bronx Cocktail,Cocktail Classics,961,3,Blood Orange Juice,0.25,oz
The Titian,Vodka,217,3,Passion Fruit Juice,1,oz
Passion Mimosa,Cocktail Classics,411,1,Passion Fruit Juice,2,oz
Maracuya Mosquito,Vodka,434,6,Passion Fruit Juice,1,oz
Prohibition Punch,Rum - Daiquiris,685,3,Passion Fruit Juice,1,oz
Passion Daiquiri Cocktail,Cocktail Classics,771,4,Passion Fruit Juice,1,oz
Clamato Cocktail,Cocktail Classics,338,2,Clam Juice,1,oz
Victory Collins,Vodka,168,2,Grape Juice,2,oz
Purple Passion,Vodka,286,3,Grape Juice,2,oz
Purple Mask,Vodka,333,2,Grape Juice,1,oz
Lasky Cocktail,Cocktail Classics,515,1,Grape Juice,0.75,oz
Grape Vodka Froth,Cocktail Classics,532,2,Grape Juice,1,oz
Victor Collins,Cocktail Classics,735,2,Grape Juice,3,oz
The Joe Lewis,Whiskies,11,2,Carrot Juice,1,oz
Vagabundo,Tequila,760,3,Celery Juice,1.5,oz
Greyhound,Cocktail Classics,74,2,Grapefruit Juice,5,oz
Grapefruit Cocktail,Cocktail Classics,77,1,Grapefruit Juice,1,oz
Blue Canary,Cocktail Classics,110,2,Grapefruit Juice,3,oz
Bourbon Cobbler,Cocktail Classics,171,3,Grapefruit Juice,2,oz
Gilchrist,Whiskies,185,3,Grapefruit Juice,0.75,oz
Easterner,Whiskies,204,2,Grapefruit Juice,1,oz
Sea Breeze,Vodka,253,3,Grapefruit Juice,1,oz
Salty Dog,Vodka,257,3,Grapefruit Juice,5,oz
Ruby Red,Vodka,267,3,Grapefruit Juice,1.5,oz
Rouxby Red,Vodka,269,4,Grapefruit Juice,0.75,oz
Purple Ruby,Vodka,281,3,Grapefruit Juice,0.5,oz
Purple Passion,Vodka,286,2,Grapefruit Juice,2,oz
Bourbon Cooler,Whiskies,299,3,Grapefruit Juice,0.5,oz
The Blinker,Whiskies,307,2,Grapefruit Juice,1.5,oz
Sunburn,Cocktail Classics,362,2,Grapefruit Juice,2,oz
Italian Screwdriver,Vodka,492,4,Grapefruit Juice,2,oz
Ibiza,Vodka,495,3,Grapefruit Juice,1,oz
Grapefruit Gimlet Royale,Vodka,525,2,Grapefruit Juice,1,oz
Grapefruit Nog,Cocktail Classics,533,2,Grapefruit Juice,0.5,oz
The Cinquecento,Vodka,574,4,Grapefruit Juice,0.75,oz
Tropica Cocktail,Rum - Daiquiris,601,3,Grapefruit Juice,1,oz
A. J.,Cocktail Classics,657,2,Grapefruit Juice,1,oz
Paddington,Rum - Daiquiris,699,4,Grapefruit Juice,0.5,oz
Nevada Cocktail,Rum - Daiquiris,704,2,Grapefruit Juice,1,oz
Shady Lady,Tequila,813,3,Grapefruit Juice,4,oz
Shady Lady,Tequila,813,4,Grapefruit Juice,4,oz
The Refuge,Tequila,824,4,Grapefruit Juice,0.25,oz
Quetzalcoatl,Tequila,827,5,Grapefruit Juice,0.5,oz
Martinique Rose,Rum - Daiquiris,834,4,Grapefruit Juice,0.75,oz
Ginger Grapefruit Rickey,Rum - Daiquiris,895,2,Grapefruit Juice,2,oz
Floridita No. 3,Rum - Daiquiris,906,3,Grapefruit Juice,0.5,oz
La Ultima Palabra,Tequila,923,2,Grapefruit Juice,0.75,oz
Jinx Cocktail,Tequila,927,4,Grapefruit Juice,1,oz
Hot Pants,Tequila,929,4,Grapefruit Juice,0.5,oz
Flower Power,Tequila,934,2,Grapefruit Juice,1,oz
Chupa Cabra,Tequila,946,2,Grapefruit Juice,0.75,oz
Wolf's Bite,Gin,973,2,Grapefruit Juice,1,oz
Vow Of Silence,Gin,990,2,Grapefruit Juice,0.75,oz
The Vacation Cocktail,Rum - Daiquiris,596,4,Mango Juice,1,oz
Purple Ruby,Vodka,281,2,Pomegranate Juice,1.5,oz
Bianca,Vodka,741,3,Pomegranate Juice,2,oz
Love Cocktail,Cocktail Classics,506,4,Raspberry Juice,0.5,oz
Bloody Scotsman,Whiskies,304,2,Tomato Juice,24,oz
Clamato Cocktail,Cocktail Classics,338,3,Tomato Juice,3,oz
Bloody Mary,Vodka,728,2,Tomato Juice,3,oz
Bloody Bull,Vodka,730,2,Tomato Juice,2,oz
Bloody Maria,Tequila,958,2,Tomato Juice,2,oz
Caesar,Vodka,717,3,Tomato-Clam Juice,4,oz
Bloody Scotsman,Whiskies,304,3,V8 Cocktail Juice,24,oz
Blue Devil Cocktail,Cocktail Classics,109,2,Citrus Juice of Choice,0.75,oz
Pink Pussycat,Vodka,351,2,Citrus Juice of Choice,2,oz
Hot Shot Margarita,Cocktail Classics,520,3,Citrus Juice of Choice,1.5,oz
Rum Fix,Rum - Daiquiris,670,2,Citrus Juice of Choice,1,oz
Tequonic,Tequila,769,2,Citrus Juice of Choice,0.25,oz
Margarita Cocktail,Cocktail Classics,823,3,Citrus Juice of Choice,1,oz
Paloma (Natural),Tequila,888,2,Citrus Juice of Choice,2,oz
